gene1	gene2	cellType	quadrant
0	0.899686345895908	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0.382644693008591	1.4499963633513	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0.722703924555177	0	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	1.40450713803131	TCells2	WT_infected
0.448051414964916	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0.348588787598825	1.72057310590809	TCells2	WT_infected
1.46556831106799	0.980204682383716	TCells2	WT_infected
0	1.99580004670211	TCells3	WT_infected
0	0	TCells2	WT_infected
0.836548907885182	1.59435681772457	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0.825939985138497	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0.580381628300924	TCells1	WT_infected
0	0	TCells1	WT_infected
0	2.43149144180518	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	1.10545887199763	TCells1	WT_infected
0	0.685901757600216	TCells1	WT_infected
0	1.92345057614994	TCells2	WT_infected
0.868493296532109	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
1.13085538729475	1.54159470095046	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	2.19631081370896	TCells2	WT_infected
0	1.34791956447639	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0	1.29951575880543	TCells1	WT_infected
0	2.24573669936751	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0.958177882841181	TCells2	WT_infected
0.665675954741704	2.43395179688068	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells2	WT_infected
0	0.951200143246235	TCells2	WT_infected
0	0	TCells2	WT_infected
0	1.60539685838911	TCells1	WT_infected
0.755616221542479	1.97534086278596	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0.816244468087592	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.46534883961954	TCells1	WT_infected
0	1.17872423163783	TCells2	WT_infected
0	0	TCells1	WT_infected
0.418546189644017	1.73655585136794	TCells2	WT_infected
1.09568753252843	0	NaturalKillerCells	WT_infected
0	0.554657687970156	TCells1	WT_infected
0	0.370633331726215	TCells1	WT_infected
0	0.515658567127418	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0.630064633998298	0	TCells3	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0.84441306051222	OtherLymphoidCells	WT_infected
0	1.6145776603373	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.56788798915542	TCells3	WT_infected
0	0.350849823884124	TCells2	WT_infected
0	2.73206882296814	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0.969818305867544	NaturalKillerCells	WT_infected
1.26330864204287	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.72800558326769	OtherLymphoidCells	WT_infected
0.942701643237358	0	TCells2	WT_infected
0.598324227442353	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0.256677884118442	TCells1	WT_infected
0	1.63753974531612	TCells3	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0.510639026761664	0	TCells1	WT_infected
0	1.09941292922329	TCells1	WT_infected
0.427406916646601	0.427406916646601	TCells1	WT_infected
0	0.452796993742738	OtherLymphoidCells	WT_infected
0.193920586871302	0	TCells1	WT_infected
0.920148017273913	0	NaturalKillerCells	WT_infected
0	0.972162614637981	TCells1	WT_infected
1.31630906925296	0	TCells2	WT_infected
0.725112176034389	0	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	0.322175496680287	TCells1	WT_infected
0	0	TCells2	WT_infected
